,PATRON_TYPE,4,5,6,7,8,9,10,11,12,13,14,15,num_of_PATRON_TYPE
0,阅览,864,566,413,321,263,220,195,170,154,132,117,101,170
1,临时读者,221,119,77,53,37,29,23,20,15,13,12,12,162
2,教职工,573,359,242,196,158,138,121,100,87,78,71,65,173
3,校友,93,34,13,9,7,5,4,3,3,3,3,3,13
4,博士生,9288,4874,3025,2128,1568,1246,1041,889,765,679,607,537,540
5,本科生,46289,27006,18480,13890,10939,9087,7802,6741,5811,5150,4619,4156,6082
6,硕士研究生,19858,10751,7068,5312,4281,3549,3038,2666,2312,2068,1858,1679,2345
7,学科顾问,0,0,0,0,0,0,0,0,0,0,0,0,3
8,绿色通道,3,2,1,1,1,1,1,1,1,1,1,1,1
