,STUDENT_GRADE,4,5,6,7,8,9,10,11,12,13,14,15,num_of_STUDENT_GRADE
0,1996.0,5,2,1,1,1,1,1,0,0,0,0,0,3
1,1999.0,0,0,0,0,0,0,0,0,0,0,0,0,2
2,1997.0,6,3,2,2,2,2,2,2,2,2,2,2,7
3,1994.0,0,0,0,0,0,0,0,0,0,0,0,0,1
4,1995.0,273,199,134,112,93,82,73,62,55,49,43,37,5
5,1992.0,4,1,0,0,0,0,0,0,0,0,0,0,2
6,1979.0,15,7,4,3,2,1,1,1,1,1,1,1,4
7,1978.0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,1900.0,0,0,0,0,0,0,0,0,0,0,0,0,1
9,1986.0,2,1,1,1,1,1,1,1,1,1,1,1,7
10,1989.0,2,2,1,1,1,1,1,1,1,1,1,1,3
11,1983.0,1,1,1,1,1,0,0,0,0,0,0,0,3
12,1987.0,2,1,1,1,1,1,1,0,0,0,0,0,2
13,1981.0,3,3,1,1,1,0,0,0,0,0,0,0,1
14,1984.0,0,0,0,0,0,0,0,0,0,0,0,0,2
15,1985.0,2,0,0,0,0,0,0,0,0,0,0,0,4
16,1982.0,9,3,0,0,0,0,0,0,0,0,0,0,1
17,1988.0,6,3,3,3,2,2,2,2,2,2,2,2,3
18,2013.0,9285,5146,3389,2527,1945,1575,1348,1154,1002,860,787,704,1656
19,2011.0,3424,2153,1568,1229,995,863,747,665,592,532,479,452,163
20,2014.0,17125,9035,5826,4258,3304,2694,2276,1937,1648,1475,1285,1161,2730
21,2015.0,17309,9612,6508,4965,3972,3340,2889,2536,2218,1984,1784,1582,3169
22,2010.0,572,380,291,235,201,184,171,156,136,124,115,107,60
23,2012.0,28415,16777,11363,8425,6635,5451,4648,4028,3458,3068,2764,2481,1481
24,2006.0,14,2,2,1,1,1,1,0,0,0,0,0,8
25,2009.0,186,99,56,29,19,16,15,11,10,10,10,9,34
26,2003.0,7,4,2,2,1,1,1,1,1,1,1,1,6
27,2007.0,127,41,13,8,5,4,4,2,2,2,2,2,15
28,2001.0,82,62,39,32,21,15,7,4,1,0,0,0,7
29,2004.0,3,2,1,0,0,0,0,0,0,0,0,0,7
30,2005.0,59,33,16,6,2,2,2,2,1,1,1,1,5
31,2000.0,11,4,2,1,1,1,1,1,1,1,1,1,7
32,2002.0,0,0,0,0,0,0,0,0,0,0,0,0,7
33,2008.0,185,110,74,51,36,28,24,18,14,9,8,8,30
