,PATRON_DEPT,4,5,6,7,8,9,10,11,12,13,14,15,num_of_dept
0,图书馆,141,75,54,42,36,32,32,23,22,20,20,20,57
1,教务处,0,0,0,0,0,0,0,0,0,0,0,0,3
2,出版社,3,3,2,2,2,2,2,2,0,0,0,0,4
3,门诊部,0,0,0,0,0,0,0,0,0,0,0,0,2
4,图书馆1,0,0,0,0,0,0,0,0,0,0,0,0,4
5,公共经济管理学院,8,3,3,2,1,1,1,1,1,0,0,0,2
6,未知,52,32,16,11,6,3,3,3,1,1,0,0,6
7,法学院,3779,2107,1381,1023,814,652,570,497,443,409,366,341,505
8,会计学院,6517,3733,2499,1881,1490,1238,1059,905,779,675,608,554,1100
9,馆内,1,1,1,1,1,1,1,0,0,0,0,0,1
10,经济学院,8154,4302,2707,1920,1484,1202,1016,903,770,669,607,547,844
11,,0,0,0,0,0,0,0,0,0,0,0,0,1
12,继续教育学院,0,0,0,0,0,0,0,0,0,0,0,0,2
13,两办,0,0,0,0,0,0,0,0,0,0,0,0,1
14,公共经济与管理学院,9125,5331,3619,2736,2205,1866,1652,1451,1298,1163,1068,956,1172
15,数学学院,1202,700,498,388,322,271,241,207,168,140,123,106,197
16,离退休工作处,0,0,0,0,0,0,0,0,0,0,0,0,2
17,金融学院,9627,5217,3402,2485,1925,1583,1330,1118,952,843,750,674,1270
18,财经研究所,2110,1124,684,462,323,242,195,169,145,138,127,119,142
19,财务处,0,0,0,0,0,0,0,0,0,0,0,0,3
20,外语系,305,216,149,117,93,75,60,52,40,38,35,27,71
21,马克思主义理论教学科研部,0,0,0,0,0,0,0,0,0,0,0,0,1
22,研究生院,5,5,3,1,0,0,0,0,0,0,0,0,4
23,人文学院,3436,1851,1191,864,652,519,405,337,291,253,216,190,475
24,宣传部,3,2,0,0,0,0,0,0,0,0,0,0,2
25,国际教育学院,57,34,28,21,16,16,10,10,8,6,6,6,134
26,国际工商管理学院,12154,6916,4735,3573,2809,2309,1964,1724,1485,1306,1152,1033,1230
27,商学院,178,84,40,24,16,11,8,6,3,2,2,0,50
28,科研处,0,0,0,0,0,0,0,0,0,0,0,0,2
29,上财后勤实业中心,3,1,1,1,1,1,1,1,1,1,1,1,3
30,信息管理与工程学院,7591,4622,3265,2496,1995,1683,1464,1281,1102,986,877,793,820
31,人事处,0,0,0,0,0,0,0,0,0,0,0,0,2
32,职业技术学院,0,0,0,0,0,0,0,0,0,0,0,0,1
33,应用数学系,701,334,195,136,96,82,74,61,52,47,46,44,97
34,MPACC,0,0,0,0,0,0,0,0,0,0,0,0,1
35,统计与管理学院,8080,4833,3399,2636,2109,1771,1540,1344,1173,1060,960,854,606
36,马克思主义研究院,367,270,204,156,123,105,93,72,57,51,41,33,16
37,国际文化交流学院,165,97,68,56,53,41,37,33,30,28,26,21,76
38,信息化办公室,10,5,5,3,3,3,3,3,3,3,2,2,9
39,博士后流动站,29,6,3,2,1,1,1,1,1,1,1,1,9
40,党委组织部,0,0,0,0,0,0,0,0,0,0,0,0,1
41,医疗健康服务中心,0,0,0,0,0,0,0,0,0,0,0,0,1
42,中国公共财政研究院,0,0,0,0,0,0,0,0,0,0,0,0,2
43,上海市金融信息技术研究重点实验室,6,5,3,3,2,0,0,0,0,0,0,0,6
44,金融硕士（财富管理）,116,55,37,30,23,21,17,14,11,9,9,9,33
45,税务硕士（税收风险控制与管理）,698,366,256,191,149,125,101,86,72,66,60,52,64
46,J.M中心,1189,615,373,273,214,175,136,111,92,79,72,66,121
47,MPAcc中心,12,10,8,4,4,3,3,3,3,1,1,1,20
48,MPA学院,0,0,0,0,0,0,0,0,0,0,0,0,1
49,纪监处,0,0,0,0,0,0,0,0,0,0,0,0,1
50,外国语学院,588,351,256,196,156,137,120,101,90,78,73,67,127
51,合作发展处,0,0,0,0,0,0,0,0,0,0,0,0,1
52,MPA教育中心,0,0,0,0,0,0,0,0,0,0,0,0,10
53,应用统计硕士（金融投资与风险管理）,183,72,36,24,20,15,15,15,14,14,10,10,41
54,J.M教育中心,395,220,139,105,82,67,57,48,38,35,27,25,90
55,MPACC中心,2,2,2,0,0,0,0,0,0,0,0,0,8
56,MPA中心,0,0,0,0,0,0,0,0,0,0,0,0,2
57,档案馆,0,0,0,0,0,0,0,0,0,0,0,0,2
58,两办（党办、校办合署）,0,0,0,0,0,0,0,0,0,0,0,0,3
59,工程管理硕士（MEM）,0,0,0,0,0,0,0,0,0,0,0,0,5
60,体育教学部,187,106,53,41,24,18,10,4,1,0,0,0,11
61,高等教育研究院,7,2,2,2,2,2,2,2,2,2,2,2,1
62,纪监处（纪委、监察审计处合署）,2,2,1,1,1,1,1,1,0,0,0,0,1
63,信息管理与工程,0,0,0,0,0,0,0,0,0,0,0,0,1
64,高等研究院,0,0,0,0,0,0,0,0,0,0,0,0,1
65,现代服务科学与技术研究中心,0,0,0,0,0,0,0,0,0,0,0,0,1
66,教育技术中心,0,0,0,0,0,0,0,0,0,0,0,0,2
67,发展规划处,0,0,0,0,0,0,0,0,0,0,0,0,1
68,国际处,0,0,0,0,0,0,0,0,0,0,0,0,1
69,高等教育研究所,0,0,0,0,0,0,0,0,0,0,0,0,1
70,统计学系,1,1,1,1,1,1,1,1,0,0,0,0,2
